id,fuente,fecha,dia_sem,ccaa,provincia,municipio,carretera,pkm,lat,lon,fallecidos,alcohol,droga,huido,genero,ciclistas
"1",https://www.20minutos.es/noticia/427342/0/conductor/ciclista/muerto/,2008/11/08 04:30:00,Sábado,Cataluña/Catalunya,Barcelona,Castellar del Vallès,B-124,,41.587275,2.0897053,"1",Sí,,,Hombre,Jordi S.P.
"2",http://www.europapress.es/navarra/noticia-sucesos-ampl-fallece-ciclista-otro-resulta-herido-grave-ser-arrollados-turismo-carrascal-20080720131333.html,2008/07/20 09:45:00,Domingo,Comunidad Foral de Navarra,Navarra,Unzué,N-121,"19",42.651821,-1.644859,"1",Sí,,,Hombre,A.P.C.
"3",https://www.20minutos.es/noticia/406179/0/atropello/ciclista/lepe/,2008/08/18 13:00:00,Sábado,Andalucía,Huelva,Lepe,,,37.23942,-7.202018,"1",Sí,,Sí,Hombre,MAS
"4",https://www.20minutos.es/noticia/406179/0/atropello/ciclista/lepe/,2008/08/18 15:00:00,Sábado,Castilla y León,León,Santiago Millas,LE-133,,42.388264,-6.101552,"1",,,,Hombre,C.P.S.
"5",https://elpais.com/diario/2009/01/26/cvalenciana/1233001080_850215.html,2009/01/26 07:00:00,Lunes,Comunitat Valenciana,València,Estivella,N-234,,39.728485,-0.349663,"1",,,,,Desconocido
"6",https://www.esciclismo.com/ampliada.asp?Id=9304,2009/01/14 16:00:00,Miércoles,Illes Balears,Illes Balears,Bunyola (Mallorca),MA-2020,,39.69266,2.7014152,"1",,,,,Antonio Caldés Serra
"7",https://www.farodevigo.es/portada-arousa/2009/07/15/ciclista-fallece-arrollado-camion-irrumpio-carretera/348597.html,2009/07/14 11:15:00,Martes,Galicia,Pontevedra,Barros,PO-531,"11",42.556955,-8.629492,"1",,,,,Manuel Núñez Buceta
"8",https://www.elnortedecastilla.es/20090825/local/salamanca/fallece-atropellada-nina-cuando-200908251838.html,2009/08/25 17:30:00,Martes,Castilla y León,Salamanca,Calzada de Valdunciel,DSA-510,,41.085344,-5.710377,"1",,,,,Desconocido
"9",https://elpais.com/elpais/2009/09/20/actualidad/1253434618_850215.html,2009/09/19 20:45:00,Sábado,Andalucía,Málaga,Almayate,N-340,,36.726763,-4.131203,"1",,,,Hombre,J. L. B
"10",https://www.20minutos.es/noticia/780409/0/,2010/08/01 07:30:00,Domingo,Illes Balears,Illes Balears,Alaior (Menorca),ME-1,"13",39.934365,4.1312808,"2",,,,,"Desconocido, Desconocido"
"11",https://www.20minutos.es/noticia/824913/0/,2010/09/26 09:15:00,Domingo,Andalucía,Sevilla,Los Palacios y Villafranca,N-IV,"571",37.172792,-5.925781,"2",No,,No,Hombre,"Desconocido, Desconocido"
